rank,release_date,primary_title,budget,domestic_gross,worldwide_gross_raw,release_year,month,vote_average,vote_count,genre_ids,primary_genre,worldwide_gross_millions,budget_millions,domestic_gross_millions,roi_percent
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,3,5.6,3403.0,"[28, 12, 10751, 14]",Action,197.687603,195.0,65.187603,1.38
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,4,7.3,6538.0,"[28, 80, 53]",Action,1518.722794,190.0,353.00702,699.33
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,5,7.4,6182.0,"[28, 12, 878]",Action,467.381584,190.0,228.778661,145.99
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2013,6,6.7,9132.0,"[28, 18, 27, 878, 53]",Action,531.51465,190.0,202.359711,179.74
70,2013-05-10,The Great Gatsby,190000000.0,144840419.0,351040419.0,2013,5,7.4,7120.0,"[18, 10749]",Drama,351.040419,190.0,144.840419,84.76
71,2009-11-06,Disneyâs A Christmas Carol,190000000.0,137855863.0,315709697.0,2009,11,,,,,315.709697,190.0,137.855863,66.16
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2013,7,6.8,7632.0,"[28, 878, 12]",Action,411.002906,190.0,101.802906,116.32
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,11,6.7,3135.0,"[12, 16, 10751]",Adventure,333.771037,187.5,123.08712,78.01
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,11,6.7,3135.0,"[12, 16, 10751]",Adventure,333.771037,187.5,123.08712,78.01
74,2008-05-02,Iron Man,186000000.0,318604126.0,585171547.0,2008,5,,,,,585.171547,186.0,318.604126,214.61
75,2008-07-18,The Dark Knight,185000000.0,533720947.0,1001996207.0,2008,7,,,,,1001.996207,185.0,533.720947,441.62
76,2008-05-22,Indiana Jones and the Kingdom of the Crystal Skull,185000000.0,317101119.0,786635413.0,2008,5,,,,,786.635413,185.0,317.101119,325.21
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,6,6.9,8116.0,"[16, 12, 35, 10751, 28, 14]",Animation,554.606532,185.0,237.282182,199.79
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,3,6.3,6054.0,"[28, 12, 14]",Action,561.072059,185.0,168.052812,203.28
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,7,6.7,4275.0,"[28, 12, 878]",Action,335.802233,185.0,158.84834,81.51
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,10,7.4,6679.0,"[878, 28, 53]",Sci-Fi,259.357408,185.0,92.054159,40.19
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,10,7.4,6679.0,"[878, 28, 53]",Sci-Fi,259.357408,185.0,92.054159,40.19
81,2019-05-24,Aladdin,182000000.0,246734314.0,619234314.0,2019,5,,,,,619.234314,182.0,246.734314,240.24
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,11,7.5,11380.0,"[28, 12, 35, 14]",Action,846.980024,180.0,315.058289,370.54
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,11,7.5,11380.0,"[28, 12, 35, 14]",Action,846.980024,180.0,315.058289,370.54
83,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000.0,291710957.0,720539572.0,2005,12,,,,,720.539572,180.0,291.710957,300.3
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,5,7.0,8143.0,"[14, 12, 28, 10751, 10749]",Fantasy,758.536735,180.0,241.407328,321.41
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,2016,11,7.4,12152.0,"[12, 10751, 14]",Adventure,802.402853,180.0,234.037575,345.78
85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000.0,234037575.0,802402853.0,2016,11,7.4,12152.0,"[12, 10751, 14]",Adventure,802.402853,180.0,234.037575,345.78
86,2008-06-27,WALL-E,180000000.0,223808164.0,532508025.0,2008,6,,,,,532.508025,180.0,223.808164,195.84
87,2007-08-10,Rush Hour 3,180000000.0,140125968.0,256585882.0,2007,8,,,,,256.585882,180.0,140.125968,42.55
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,7,5.8,4102.0,"[28, 12]",Action,348.902025,180.0,126.643061,93.83
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,11,7.1,4124.0,"[12, 18, 10751]",Adventure,180.047784,180.0,73.864507,0.03
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,7,6.6,4149.0,"[12, 878, 28]",Adventure,215.098356,180.0,40.47937,19.5
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,2,5.3,4401.0,"[878, 14, 28, 12]",Sci-Fi,181.982519,179.0,47.482519,1.67
